nev;orszag;nem;szulev;urido
Stuart Roosa;USA;F;1933;9
Gennady Padalka;RUS;F;1958;878
Valery Korzun;RUS;F;1953;381
Scott Carpenter;USA;F;1925;0
Vladislav Volkov;URS;F;1935;28
Umberto Guidoni;ITA;F;1954;27
Nicole Marie Passonno Stott;USA;N;1962;26
Donald McMonagle;USA;F;1952;25
Daniel Bursch;USA;F;1957;226
Oleg Skripochka;RUS;F;1969;331
Yi So-yeon;KOR;N;1978;10
Julie Payette;CAN;N;1963;25
Linda Godwin;USA;N;1952;38
Alan G. Poindexter;USA;F;1961;27
Daniel Tani;USA;F;1961;131
Evgeny Tarelkin;RUS;F;1974;143
Jeffrey Williams;USA;F;1958;534
Chris Hadfield;CAN;F;1959;165
Lee Morin;USA;F;1952;10
Thomas Pesquet;FRA;F;1978;196
Klaus-Dietrich Flade;GER;F;1952;175
James van Hoften;USA;F;1944;14
David M. Brown;USA;F;1956;15
Martin J. Fettman;USA;F;1956;14
Liu Yang;CHN;N;1978;12
Mario Runco, Jr.;USA;F;1952;22
Anousheh Ansari;IRI;N;1966;10
Virgil I. Grissom;USA;F;1926;0
John D. Olivas;USA;F;1966;27
Vladimir Dzhanibekov;URS;F;1942;145
Carlos I. Noriega;PER;F;1959;20
Dominic Gorie;USA;F;1957;48
Eugene Trinh;USA;F;1950;13
Robert Overmyer;USA;F;1936;12
Aleksandr Laveykin;URS;F;1951;174
James Buchli;USA;F;1945;20
Viktor Gorbatko;URS;F;1934;30
Richard R. Arnold;USA;F;1963;208
Stephen Frick;USA;F;1964;23
David M. Walker;USA;F;1944;30
James M. Kelly;USA;F;1964;26
Hans Schlegel;GER;F;1951;22
Serena Au?ón-Chancellor;USA;N;1976;196
James P. Bagian;USA;F;1952;14
Garrett Reisman;USA;F;1968;107
Laurel B. Clark;USA;N;1961;15
Stephanie Wilson;USA;N;1966;42
Leroy Chiao;USA;F;1960;229
K. Megan McArthur;USA;N;1971;12
Harrison Schmitt;USA;F;1935;12
Kathryn Hire;USA;N;1959;29
Mark Shuttleworth;RSA;F;1973;9
Walter Schirra;USA;F;1923;12
Bryan O'Connor;USA;F;1946;15
